"","accession_nmb","pubjournal","pubauthor","pubtitle","pubdoi","location","lld1","lld2","lld3","lld4","ll1","ll2","ll3","ll4","ll5","ll6","latlonpos_nd2","lat1","lon1","lat2","lon2","declat","declon","smplyear","declat2","declon2","latlonpos3","smplyear2","loc.abbrv"
"1","AF293700","Mol. Phylogenet. Evol. 21 (2), 218-230 (2001)","['Podar,M.', 'Haddock,S.H.', 'Sogin,M.L.', 'Harbison,G.R.']","A molecular phylogenetic framework for the phylum Ctenophora using 18S rRNA genes",NA,"USA:WoodsHole","41.52","N","70.67","W",NA,NA,NA,NA,NA,NA,NA,41.52,-70.67,41.52,-70.67,41.52,-70.67,"2001",41.52,-70.67,"41.52; -70.67","2001","NWA"
"14","JX266255","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"15","JX266254","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"16","JX266253","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"17","JX266252","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"18","JX266251","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"19","JX266250","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"20","JX266249","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"21","JX266248","Unpublished","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.']","Genetic structure of mnemiopsis leidyi using molecular method (PCR-sequencing)",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2009",36.8,53.12,"36.8; 53.12","2009","CS"
"22","JX112770","Submitted (28-MAY-2012) Biotechnology, Ecology Research Center of the Caspian Sea, Farah Abad, Sari, Mazandaran 4847153948, Iran","['Laloei,F.', 'Taghavi,M.J.', 'Rezvani Gilkolaei,S.']","Direct Submission",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2012",36.8,53.12,"36.8; 53.12","2012","CS"
"23","JX112769","Submitted (28-MAY-2012) Biotechnology, Ecology Research Center of the Caspian Sea, Farah Abad, Sari, Mazandaran 4847153948, Iran","['Laloei,F.', 'Taghavi,M.J.', 'Pourgholam,H.']","Direct Submission",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2012",36.8,53.12,"36.8; 53.12","2012","CS"
"24","JX112768","Submitted (28-MAY-2012) Biotechnology, Ecology Research Center of the Caspian Sea, Farah Abad, Sari, Mazandaran 4847153948, Iran","['Laloei,F.', 'Taghavi,M.J.', 'Rezvani Gilkolaei,S.']","Direct Submission",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2012",36.8,53.12,"36.8; 53.12","2012","CS"
"25","JX112767","Submitted (28-MAY-2012) Biotechnology, Ecology Research Center of the Caspian Sea, Farah Abad, Sari, Mazandaran 4847153948, Iran","['Laloei,F.', 'Pourgholam,R.', 'Taghavi,M.J.', 'Pourgholam,H.']","Direct Submission",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2012",36.8,53.12,"36.8; 53.12","2012","CS"
"26","JX112766","Submitted (28-MAY-2012) Biotechnology, Ecology Research Center of the Caspian Sea, Farah Abad, Sari, Mazandaran 4847153948, Iran","['Laloei,F.', 'Taghavi,M.J.', 'Rezvani Gilkolaei,S.']","Direct Submission",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2012",36.8,53.12,"36.8; 53.12","2012","CS"
"27","JQ742005","Unpublished","['Laloei,F.', 'Pourgholam,R.', 'Rezvani Gilkolaei,S.', 'Taghavi,M.J.']","The genome of the Mnemiopsis leidyi",NA,"CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"unknown",36.8,53.12,"36.8; 53.12","unknown","CS"
"28","JQ071530","Unpublished","['Saponari,L.']","First molecular species identification of Mnemiopsis leidyi in Italian Seas",NA,"Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"unknown",43.417,9.283,"43.417; 9.283","unknown","M"
"29","JQ071529","Unpublished","['Saponari,L.']","First molecular species identification of Mnemiopsis leidyi in Italian Seas",NA,"Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"unknown",43.417,9.283,"43.417; 9.283","unknown","M"
"30","HM007195","Hydrobiologia (2010) In press","['Fuentes,V.', 'Angel,D.L.', 'Bayha,K.M.', 'Atienza,D.', 'Edelist,D.', 'Bordehore,C.', 'Purcell,J.E.']","Blooms of the invasive ctenophore, Mnemiopsis leidyi, span the Mediterranean Sea in 2009",NA,"Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2010",43.417,9.283,"43.417; 9.283","2010","M"
"31","HM007194","Hydrobiologia (2010) In press","['Fuentes,V.', 'Angel,D.L.', 'Bayha,K.M.', 'Atienza,D.', 'Edelist,D.', 'Bordehore,C.', 'Purcell,J.E.']","Blooms of the invasive ctenophore, Mnemiopsis leidyi, span the Mediterranean Sea in 2009",NA,"Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2010",43.417,9.283,"43.417; 9.283","2010","M"
"32","HM007193","Hydrobiologia (2010) In press","['Fuentes,V.', 'Angel,D.L.', 'Bayha,K.M.', 'Atienza,D.', 'Edelist,D.', 'Bordehore,C.', 'Purcell,J.E.']","Blooms of the invasive ctenophore, Mnemiopsis leidyi, span the Mediterranean Sea in 2009",NA,"Mediterranean",NA,NA,NA,NA,"43","25","N","9","17","E",NA,43.4166666666667,9.28333333333333,NA,NA,43.4166666666667,9.28333333333333,"2010",43.417,9.283,"43.417; 9.283","2010","M"
"33","GU062762","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"34","GU062761","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"35","GU062760","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"36","GU062759","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"37","GU062758","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"38","GU062757","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"39","GU062756","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"40","GU062755","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"41","GU062754","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"42","GU062753","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"43","GU062752","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"44","GU062751","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"45","GU062750","Unpublished","['Ghabooli,S.', 'Shiganova,T.A.', 'Zhan,A.', 'Cristescu,M.E.', 'Eghtesadi-Araghi,P.', 'MacIsaac,H.J.']","Multiple introductions and invasion pathways for the invasive ctenophore Mnemiopsis leidyi in Eurasia",NA,"CentralWAtlantic",NA,NA,NA,NA,"11","02","N","74","51","W",NA,11.0333333333333,-74.85,NA,NA,11.0333333333333,-74.85,"2009",11.033,-74.85,"11.033; -74.85","2009","CWA"
"46","HM147277","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2010",36.8,53.12,"36.8; 53.12","2010","CS"
"47","HM147276","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","CaspianSea","36.80","N","53.12","E",NA,NA,NA,NA,NA,NA,NA,36.8,53.12,36.8,53.12,36.8,53.12,"2010",36.8,53.12,"36.8; 53.12","2010","CS"
"48","HM147275","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","USA:GalvestonBay","29.28","N","94.87","W","29","17","N","94","52","W","29 17 N 94 52 W ",29.2833333333333,-94.8666666666667,29.28,-94.87,29.2833333333333,-94.8666666666667,"2010",29.283,-94.867,"29.283; -94.867","2010","NWA"
"49","HM147274","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","USA:Panacea","30.00","N","84.33","W","30","00","N","84","20","W","30 00 N 84 20 W ",30,-84.3333333333333,30,-84.33,30,-84.3333333333333,"2010",30,-84.333,"30; -84.333","2010","NWA"
"50","HM147273","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","USA:Panacea","30.00","N","84.33","W","30","00","N","84","20","W","30 00 N 84 20 W ",30,-84.3333333333333,30,-84.33,30,-84.3333333333333,"2010",30,-84.333,"30; -84.333","2010","NWA"
"51","HM147272","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","USA:WoodsHole","41.52","N","70.67","W","41","31","N","70","40","W","41 31 N 70 40 W ",41.5166666666667,-70.6666666666667,41.52,-70.67,41.5166666666667,-70.6666666666667,"2010",41.517,-70.667,"41.517; -70.667","2010","NWA"
"52","HM147271","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:KielFjord","54.42","N","10.20","E",NA,NA,NA,NA,NA,NA,NA,54.42,10.2,54.42,10.2,54.42,10.2,"2010",54.42,10.2,"54.42; 10.2","2010","GKi"
"53","HM147270","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:KielFjord","54.42","N","10.20","E",NA,NA,NA,NA,NA,NA,NA,54.42,10.2,54.42,10.2,54.42,10.2,"2010",54.42,10.2,"54.42; 10.2","2010","GKi"
"54","HM147269","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Maasholm","54.68","N","10.00","E",NA,NA,NA,NA,NA,NA,NA,54.68,10,54.68,10,54.68,10,"2010",54.68,10,"54.68; 10","2010","GKi"
"55","HM147268","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Maasholm","54.68","N","10.00","E",NA,NA,NA,NA,NA,NA,NA,54.68,10,54.68,10,54.68,10,"2010",54.68,10,"54.68; 10","2010","GKi"
"56","HM147267","Mol. Ecol. 19 (13), 2690-2699 (2010)","['Reusch,T.B.', 'Bolte,S.', 'Sparwel,M.', 'Moss,A.G.', 'Javidpour,J.']","Microsatellites reveal origin and genetic diversity of Eurasian invasions by one of the world's most notorious marine invader, Mnemiopsis leidyi (Ctenophora)","10.1111/j.1365-294X.2010.04701.x","Germany:Maasholm","54.68","N","10.00","E",NA,NA,NA,NA,NA,NA,NA,54.68,10,54.68,10,54.68,10,"2010",54.68,10,"54.68; 10","2010","GKi"
